Record ID#,property_id,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,Bed Count Variance,occupied_count,PLR Signed Leases,preleased_count,Signed Leases Variance
787,,Shortbread Lofts,C2 (Shared),C2,209,6,6,0,6,6,0,6
788,,Shortbread Lofts,C3 (Private),C3,210,20,20,0,20,10,0,10
789,,Shortbread Lofts,C4 (Private),C4,212,24,24,0,24,6,0,6
790,,Shortbread Lofts,D1 (Private),D1,214,205,205,0,205,73,0,73
791,,Shortbread Lofts,D2 (Private),D2,216,9,9,0,9,9,0,9
1065,,Shortbread Lofts,,Not Selected,,0,,0,0,,0,0
793,,SOVA,A1,A1,86,20,20,0,19,30,0,30
794,,SOVA,B1,B1,87,64,64,0,63,82,0,82
795,,SOVA,B1 ALT,B1 ALT,88,30,30,0,30,41,0,41
796,,SOVA,C1,C1,89,66,66,0,66,85,0,85
797,,SOVA,D1,D1,90,308,308,0,305,343,0,343
798,,SOVA,D2,D2,93,88,88,0,88,106,0,106
799,,SOVA,D3,D3,94,240,240,0,238,263,0,263
1001,,SOVA,,Not Selected,,0,,0,0,,0,0
801,,Station Nine,A1,A1,95,105,105,0,89,100,0,100
802,,Station Nine,A1 Loft,A1 Loft,96,26,26,0,17,19,0,19
803,,Station Nine,A2,A2,97,4,4,0,2,3,0,3
804,,Station Nine,A3,A3,98,36,36,0,25,30,0,30
805,,Station Nine,A3 Loft,A3 Loft,99,5,5,0,5,5,0,5
806,,Station Nine,A4,A4,100,8,8,0,2,4,0,4
807,,Station Nine,A5,A5,101,4,4,0,3,3,0,3
808,,Station Nine,A6,A6,102,1,1,0,0,1,0,1
809,,Station Nine,B1,B1,103,53,53,0,35,51,0,51
810,,Station Nine,B1 Loft,B1 Loft,104,16,16,0,9,11,0,11
811,,Station Nine,B2,B2,105,21,21,0,13,21,0,21
812,,Station Nine,B2 Loft,B2 Loft,106,7,7,0,2,4,0,4
813,,Station Nine,B3,B3,107,27,27,0,26,27,0,27
814,,Station Nine,B4,B4,108,4,4,0,2,3,0,3
815,,Station Nine,B5,B5,109,6,6,0,4,5,0,5
1002,,Station Nine,,Not Selected,,0,,0,0,,0,0
819,,The Academy at Frisco,A1,A1,110,31,31,0,31,35,0,35
820,,The Academy at Frisco,A2,A2,111,3,3,0,3,3,0,3
821,,The Academy at Frisco,B1,B1,112,48,48,0,48,49,0,49
822,,The Academy at Frisco,B2,B2,113,10,10,0,10,11,0,11
823,,The Academy at Frisco,B3,B3,114,10,10,0,10,14,0,14
824,,The Academy at Frisco,C1,C1,115,18,18,0,18,18,0,18
825,,The Academy at Frisco,D1,D1,116,228,228,0,227,246,0,246
826,,The Academy at Frisco,D2,D2,117,140,140,0,140,144,0,144
