Charge Code,Charge Code ID,Lease charges,Add Lease Charge,Charge Code Type,Date Created,Date Modified,Last Modified By,Record ID#,Record Owner
Deferred Rent July 2023,"148,906","148,906",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148906&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,9,JT Bailey <62477437.bhmt>
Deferred Rent June 2022,"148,784","148,784",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148784&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,10,JT Bailey <62477437.bhmt>
Deferred Rent June 2023,"148,905","148,905",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148905&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,11,JT Bailey <62477437.bhmt>
Deposit,"148,656","148,656",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148656&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,47,JT Bailey <62477437.bhmt>
Employee Discount,"148,090","148,090",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148090&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,12,JT Bailey <62477437.bhmt>
Floor Plan Premium,"148,230","148,230",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148230&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,13,JT Bailey <62477437.bhmt>
Garage Parking,"148,134","148,134",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148134&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,14,JT Bailey <62477437.bhmt>
GMH Communities Covered,"148,902","148,902",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148902&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,15,JT Bailey <62477437.bhmt>
Group New Lease Gift Card,"149,009","149,009",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=149009&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,48,JT Bailey <62477437.bhmt>
Group New Lease Gift Card Adjustment,"149,010","149,010",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=149010&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,49,JT Bailey <62477437.bhmt>
Group Renewal Gift Card,"149,011","149,011",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=149011&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,50,JT Bailey <62477437.bhmt>
Group Renewal Gift Card Adjustment,"149,012","149,012",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=149012&z=9nm,,11-22-2022 06:28 PM,11-22-2022 06:28 PM,JT Bailey <62477437.bhmt>,51,JT Bailey <62477437.bhmt>
Landlord Liability Protection Plan,"148,650","148,650",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148650&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,16,JT Bailey <62477437.bhmt>
Landlord Liability Protection Plan - Base Use,"148,834","148,834",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148834&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,17,JT Bailey <62477437.bhmt>
Landlord Personal Property Protection Program,"148,651","148,651",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148651&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,18,JT Bailey <62477437.bhmt>
Landlord Personal Property Protection Program - Base Use,"148,833","148,833",https://gmh.quickbase.com/db/br9sdipfm?a=API_GenAddRecordForm&_fid_21=148833&z=9nm,,03-30-2022 01:43 PM,03-30-2022 01:43 PM,JT Bailey <62477437.bhmt>,19,JT Bailey <62477437.bhmt>
