Lease ID,Lease Interval ID,Scheduled Charge ID,Charge Code ID,Charge Code,Charge Type,Charge Start Date,Charge End Date,Charge Amount,Charge Frequency,timestamp,owner,xQuery - Related Lease,Related Code,Charge Usage,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
"13,311,307","16,867,898","40,877,882","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10681,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,307","16,867,898","40,877,881","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$850,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10682,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,455","16,856,759","40,829,572","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,000",Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10683,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,455","16,856,759","40,829,641","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10684,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,476","16,857,752","40,831,743","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,195",Monthly,1669105271,gmh,"30,769","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10685,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,476","16,857,752","40,831,767","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"30,769","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10686,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,311,476","16,857,752","40,831,768","148,134",Garage Parking,other,08-01-2023,07-31-2024,$20,Monthly,1669105271,gmh,"30,769","148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10687,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,312,008","16,856,946","40,890,396","149,017",Deferred Rent - June 2024,Security Deposit,09-30-2022,,$20,One-Time,1669105271,gmh,,"149,017",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10688,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,312,008","16,856,946","40,890,397","149,015",Deferred Rent - July 2024,Security Deposit,09-30-2022,,$20,One-Time,1669105271,gmh,,"149,015",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10689,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,312,008","16,856,946","40,829,927","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,000",Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10690,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,312,008","16,856,946","40,829,960","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10691,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,312,362","16,857,746","40,831,737","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,195",Monthly,1669105271,gmh,"30,768","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10692,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,312,362","16,857,746","40,831,757","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"30,768","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10693,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,024","16,856,787","40,829,600","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,000",Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10694,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,024","16,856,787","40,829,677","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10695,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,479","16,901,891","40,999,196","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,"31,349","148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10696,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,479","16,901,891","40,999,195","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,"$1,210",Monthly,1669105271,gmh,"31,349","147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10697,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,479","16,901,891","40,999,197","148,134",Garage Parking,other,08-01-2023,07-31-2024,$20,Monthly,1669105271,gmh,"31,349","148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10698,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,550","16,911,125","41,052,424","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$870,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10699,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,550","16,911,125","41,052,456","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10700,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,942","16,891,122","40,951,249","147,881",Base Rent,Base Rent,08-01-2023,07-31-2024,$925,Monthly,1669105271,gmh,,"147,881",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10701,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,313,942","16,891,122","40,951,328","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10702,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,314,250","16,891,013","40,950,880","148,134",Garage Parking,other,08-01-2023,07-31-2024,$20,Monthly,1669105271,gmh,,"148,134",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10703,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
"13,314,250","16,891,013","40,950,878","148,902",GMH Communities Covered,other,08-01-2023,07-31-2024,$16,Monthly,1669105271,gmh,,"148,902",,11-22-2022 06:18 PM,11-22-2022 06:18 PM,10704,JT Bailey <62477437.bhmt>,JT Bailey <62477437.bhmt>
