Description,Document Template - Name,Related Document Template,Table Name,dbid,Sheet,qry,clist,slist,stlist,Is Data Grid?,Date Created,Date Modified,EachRecordasNewTab,grouplist,Last Modified By,Link to table,Max Line items,Max Lines type,Record ID#,Record Owner,Skip Rows,slist Options,Tab sub report order
Sheet 13 - Daily Chart Data,Weekly Performance Overview,2,,bq5hz7i53,13,{'3'.EX.'[RK]'},"B1:548.
C1:549.
D1:550.
E1:551.
F1:552.
G1:553.
H1:554.
B2:536.
C2:541.
D2:540.
E2:539.
F2:538.
G2:537.
H2:534.
B3:542.
C3:547.
D3:546.
E3:545.
F3:544.
G3:543.
H3:535.
B5:529.
C5:524.
D5:519.
E5:514.
F5:509.
G5:504.
H5:499.
B6:530.
C6:525.
D6:520.
E6:515.
F6:510.
G6:505.
H6:503",,,no,08-16-2021 12:53 PM,10-05-2021 01:42 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,22,JT Bailey <62477437.bhmt>,,,
Sheet 09 - Property Leasing Totals,Weekly Performance Overview,2,,bq5hz7i53,9,{'3'.EX.'[RK]'},"O7-N:26.
P7-N:44.
O12:45.
P12:175.
O17:47.
P17:176.
O22:72.
P22:43",,,no,08-31-2021 12:32 PM,09-13-2021 12:28 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,23,JT Bailey <62477437.bhmt>,,,
Sheet 11 - Lead Graph Details,NEW - Weekly Performance Overview,5,Properties,bq5hz7i53,11,{'3'.EX.'[RK]'},"A2:6.
B2:453.
C2:454.
D2:455.
E2:456.
F2:457.
G2:458",,,yes,10-25-2021 09:36 AM,10-25-2021 09:36 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,33,JT Bailey <62477437.bhmt>,,,
Sheet 07 - Property Lease Approval and Aging,NEW - Weekly Performance Overview,5,Properties,bq5hz7i53,7,{'3'.EX.'[RK]'},"L5:447.
N5:448.
L8-N:26.
L11-N:449.
L15:443.
M15:444.
N15:445.
O15:446.
L18:450.
L21:452.
AA4:448.
AA5:564.
AA6:565.
AA7:566.
AA8:567",,,no,10-25-2021 09:36 AM,12-07-2021 12:43 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,34,JT Bailey <62477437.bhmt>,,,
Sheet 08 - Traffic and Application Counts,NEW - Weekly Performance Overview,5,Properties,bq5hz7i53,8,{'3'.EX.'[RK]'},"B13:461.
C13:466.
D13:471.
G13:476.
H13:481.
I13:486.
B14:464.
C14:470.
D14:475.
G14:480.
H14:485.
I14:489.
B15:463.
C15:469.
D15:474.
G15:479.
H15:484.
I15:490.
B16:462.
C16:468.
D16:473.
G16:478.
H16:483.
I16:488.
B17:465.
C17:467.
D17:472.
G17:477.
H17:482.
I17:487.
B4:497.
C4:496.
D4:495.
E4:494.
F4:493.
G4:492.
H4:491",,,no,10-25-2021 09:36 AM,12-07-2021 12:33 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,35,JT Bailey <62477437.bhmt>,,,
Sheet 05 - Property Rent Growth Details,NEW - Weekly Performance Overview,5,,bq5hz7i53,5,{'3'.EX.'[RK]'},"D5:66.
E5:597.
DE-N:73.
H5:439.
I5:596.
HI-N:440",,,no,10-25-2021 09:36 AM,10-06-2022 06:06 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,36,JT Bailey <62477437.bhmt>,,,
Sheet 03 - Days of the Week,,,,bq5hz7i53,3,{'3'.EX.'[RK]'},"E3:497.
G3:496.
I3:495.
K3:494.
M3:493.
O3:492.
Q3:491",,,no,10-25-2021 09:36 AM,10-25-2021 10:30 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,37,JT Bailey <62477437.bhmt>,,,
Sheet 08 - Daily Traffic Breakdown,NEW - Weekly Performance Overview,5,,bq5hz7i53,8,{'3'.EX.'[RK]'},"B4:497.
C4:496.
D4:495.
E4:494.
G4:493.
H4:492.
I4:491.
B5:529.
C5:524.
D5:519.
E5:514.
G5:509.
H5:504.
I5:499.
B6:530.
C6:525.
D6:520.
E6:515.
G6:510.
H6:505.
I6:503.
B7:531.
C7:526.
D7:521.
E7:516.
G7:511.
H7:506.
I7:502.
B8:532.
C8:527.
D8:522.
E8:517.
G8:512.
H8:507.
I8:501.
B9:533.
C9:528.
D9:523.
E9:518.
G9:513.
H9:508.
I9:500",,,no,10-25-2021 09:36 AM,12-07-2021 12:44 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,38,JT Bailey <62477437.bhmt>,,,
Sheet 13 - Daily Chart Data,NEW - Weekly Performance Overview,5,,bq5hz7i53,13,{'3'.EX.'[RK]'},"B1:548.
C1:549.
D1:550.
E1:551.
F1:552.
G1:553.
H1:554.
B2:536.
C2:541.
D2:540.
E2:539.
F2:538.
G2:537.
H2:534.
B3:542.
C3:547.
D3:546.
E3:545.
F3:544.
G3:543.
H3:535.
B5:529.
C5:524.
D5:519.
E5:514.
F5:509.
G5:504.
H5:499.
B6:530.
C6:525.
D6:520.
E6:515.
F6:510.
G6:505.
H6:503",,,no,10-25-2021 09:36 AM,10-25-2021 09:36 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,39,JT Bailey <62477437.bhmt>,,,
Sheet 02 - Property Leasing Totals,NEW - Weekly Performance Overview,5,,bq5hz7i53,2,{'3'.EX.'[RK]'},"B5-N:26.
C5-N:44.
E5:45.
F5:175.
H5:47.
I5:176.
K5:25.
L5:43",,,no,10-25-2021 09:36 AM,12-07-2021 12:58 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,40,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,3,{'3'.EX.'[RK]'},S1-I:562.A2:6,,,no,12-07-2021 12:17 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,41,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,4,{'3'.EX.'[RK]'},I1-I:562.A2:6,,,no,12-07-2021 12:17 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,42,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,6,{'3'.EX.'[RK]'},I1-I:562.A2:6,,,no,12-07-2021 12:17 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,43,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,9,{'3'.EX.'[RK]'},J1-I:562.A2:6,,,no,12-07-2021 12:27 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,44,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,5,{'3'.EX.'[RK]'},I1-I:562.A2:6,,,no,12-07-2021 12:58 AM,10-06-2022 06:04 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,46,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,2,{'3'.EX.'[RK]'},I1-I:562.A2:6,,,no,12-07-2021 01:00 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,47,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,7,{'3'.EX.'[RK]'},T1-I:562.A2:6,,,no,12-07-2021 01:00 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,48,JT Bailey <62477437.bhmt>,,,
,NEW - Weekly Performance Overview,5,,bq5hz7i53,8,{'3'.EX.'[RK]'},L1-I:562.A2:6,,,no,12-07-2021 01:00 AM,12-07-2021 01:14 AM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,49,JT Bailey <62477437.bhmt>,,,
Sheet 04 - Rent Growth Details,,,,,,,,,,no,08-15-2021 11:29 PM,08-15-2021 11:29 PM,no,,JT Bailey <62477437.bhmt>,https://gmh.quickbase.com/db/bq5hz7i9k?a=td,,,17,JT Bailey <62477437.bhmt>,,,
