Record ID#,Refresh key: property,Floorplan Name,Refresh key: floorplan_name,Related Floorplan,rentable_unit_count,Floorplan - Total Beds,xAudit - Bed Variance,occupied_count,"Floorplan - # of Signed Leases, Current Term",preleased_count,xAudit - Lease Variance,approved_count,completed_count,Date Created,Date Modified,excluded_unit_count,Floorplan - Property Name,Floorplan - Rentable Beds,Floorplan - Unit Type,Last Modified By,preleased_new_count,preleased_renewal_count,Property - Floorplan,property_id,Record Owner,Refresh key,units,xProperty Name,xUnit Type,xSigned Leases
722,Academy 65,D3 Semi-Shared,D3 Semi-Shared,344,120,120,0,91,92,0,92,81,0,07-12-2022 11:07 AM,07-20-2024 02:20 AM,0,Academy 65,120,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Academy 65_D3 Semi-Shared,120,Academy 65,,0
769,ANOVA uCity Square,A8,A8,352,186,186,0,156,168,0,168,159,1,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,ANOVA uCity Square,186,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,ANOVA uCity Square_A8,186,ANOVA uCity Square,,0
774,ANOVA uCity Square,S1,S1,357,168,168,0,123,160,0,160,136,1,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,ANOVA uCity Square,168,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,ANOVA uCity Square_S1,168,ANOVA uCity Square,,0
813,Station Nine,B3,B3,107,27,27,0,26,27,0,27,27,0,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,Station Nine,27,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Station Nine_B3,27,Station Nine,,0
819,The Academy at Frisco,A1,A1,110,31,31,0,31,35,0,35,31,0,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,The Academy at Frisco,31,1 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Academy at Frisco_A1,31,The Academy at Frisco,,0
869,The Dean Campustown,D1,D1,172,56,56,0,54,44,0,44,42,1,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,The Dean Campustown,56,4 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Campustown_D1,56,The Dean Campustown,,0
922,Torre,D3 - SEMI-SHARED,D3 - SEMI-SHARED,309,12,12,0,6,10,0,10,9,0,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,Torre,12,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Torre_D3 - SEMI-SHARED,12,Torre,,0
953,Torre,TH - F5,TH - F5,340,18,18,0,17,18,0,18,17,0,07-12-2022 12:41 PM,07-20-2024 02:20 AM,0,Torre,18,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Torre_TH - F5,18,Torre,,0
967,The Dean Reno,E1,E1,368,90,90,0,84,74,0,74,71,1,10-11-2022 02:14 AM,07-20-2024 02:20 AM,0,The Dean Reno,90,5 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Reno_E1,90,The Dean Reno,,0
1016,Venue at North Campus,D1,D1,406,256,256,0,227,221,0,221,202,0,11-14-2023 01:15 AM,07-20-2024 02:20 AM,0,The Venue at North Campus,256,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Venue at North Campus_D1,256,Venue at North Campus,,0
1065,Shortbread Lofts,,Not Selected,,0,,0,0,,0,0,0,0,07-19-2024 02:15 AM,07-19-2024 02:15 AM,0,,,,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Shortbread Lofts_Not Selected,0,Shortbread Lofts,,0
733,1008 S. 4th,D1 Balcony,D1 Balcony,8,16,16,0,16,16,0,16,16,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,Campustown 1008 S. 4th,16,4 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,1008 S. 4th_D1 Balcony,16,1008 S. 4th,,0
794,SOVA,B1,B1,87,64,64,0,63,82,0,82,68,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,SOVA,64,2 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,SOVA_B1,64,SOVA,,0
796,SOVA,C1,C1,89,66,66,0,66,85,0,85,68,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,SOVA,66,3 x 3,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,SOVA_C1,66,SOVA,,0
797,SOVA,D1,D1,90,308,308,0,305,346,0,346,315,1,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,SOVA,308,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,SOVA_D1,308,SOVA,,0
799,SOVA,D3,D3,94,240,240,0,238,263,0,263,244,1,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,SOVA,240,4 x 4,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,SOVA_D3,240,SOVA,,0
806,Station Nine,A4,A4,100,8,8,0,2,4,0,4,4,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,Station Nine,8,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Station Nine_A4,8,Station Nine,,0
811,Station Nine,B2,B2,105,21,21,0,13,21,0,21,19,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,Station Nine,21,0 x 0,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,Station Nine_B2,21,Station Nine,,0
823,The Academy at Frisco,B3,B3,114,10,10,0,10,14,0,14,10,1,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,The Academy at Frisco,10,2 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Academy at Frisco_B3,10,The Academy at Frisco,,0
866,The Dean Campustown,B2,B2,167,28,28,0,28,29,0,29,29,0,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,The Dean Campustown,28,2 x 1,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Campustown_B2,28,The Dean Campustown,,0
870,The Dean Campustown,D2,D2,173,56,56,0,55,57,0,57,52,1,07-12-2022 12:41 PM,07-19-2024 02:15 AM,0,The Dean Campustown,56,4 x 2,Connected Data Service <3000.e5kr>,0,0,,,Connected Data Service <3000.e5kr>,The Dean Campustown_D2,56,The Dean Campustown,,0
